city,team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,season
LA Lakers,Lakers,96.3,16.1,12.1,25.4,76.3,49.8,47.3,51.3,100.8,108,2014
LA Lakers,Lakers,101,18.2,13.7,20.2,71,45.6,50.5,54.2,101.9,107.9,2013
LA Lakers,Lakers,96.8,17,13.9,27,74.3,51.2,51.2,54.8,105.6,103.6,2012
LA Lakers,Lakers,92.9,15.6,24.9,29.1,74.8,53,49.1,53.4,103.3,101.7,2011
LA Lakers,Lakers,93.4,15.6,22,29.2,72.3,51.5,50.2,54.5,107.9,101.3,2010
LA Lakers,Lakers,95.2,14.8,22.1,27.7,74.4,51.2,49.6,53.8,105.9,101.1,2009
LA Lakers,Lakers,96.9,15.9,21.8,29.4,73,51.5,51.3,55.5,109.8,101.9,2008
LA Lakers,Lakers,112.1,16.5,22.8,26.3,73.4,50.8,52.5,57,96.5,89.8,2007
LA Lakers,Lakers,110.8,15.4,25,26.1,72.3,49.4,51.1,55.4,91.1,92.2,2006
LA Lakers,Lakers,107.5,15,23.2,28.8,73.6,51.2,49.5,53.9,91.8,89.3,2005
LA Lakers,Lakers,106.6,14.4,23.7,29.5,71.1,50.4,48.5,53.5,91,96,2004
LA Lakers,Lakers,109.2,16.3,22.7,28.1,73.3,50.4,48.1,52.2,89.7,85.1,2003
LA Lakers,Lakers,109.5,15.8,23.4,30.2,72.7,51.3,48.6,52.8,90.5,88.5,2002
Memphis,Grizzlies,95.7,16.1,12.3,25.3,75.1,49.1,47.7,52.4,102.6,105.4,2015
Memphis,Grizzlies,94.2,17,12.6,24.7,75.3,50.1,48.9,53.1,103.1,99.9,2014
Memphis,Grizzlies,92.2,17.3,13.1,28.3,75.7,52,49.5,52.9,103.3,102.1,2013
Memphis,Grizzlies,91.1,16.6,13.3,31,74.3,52.2,47.2,51.4,101.7,97.4,2012
Memphis,Grizzlies,93.4,13.9,23.9,29.8,72.7,50.8,47.3,51.5,101,98.9,2011
Memphis,Grizzlies,94.5,14.5,23,28.9,72.5,50.5,49.3,53.4,104.4,102.5,2010
Memphis,Grizzlies,96.1,13,24.1,31.3,73.3,52.3,49.4,53.6,104.8,107.6,2009
Memphis,Grizzlies,92.5,12.8,25.7,25.8,73.5,49.3,48.6,53.3,100.9,106.8,2008
Memphis,Grizzlies,111.7,13.4,24.6,23.8,73.4,48.3,50,53.9,88.7,96.1,2007
Memphis,Grizzlies,111.5,14.1,26.3,25.9,71.1,48.5,50.4,55.5,89.3,94.8,2006
Memphis,Grizzlies,102.7,14.6,24.4,25.8,72,49.1,49.6,53.7,89.2,85.1,2005
Memphis,Grizzlies,106.3,15.2,25.1,27.1,69.9,48.6,48.9,53.5,88.4,85,2004
Memphis,Grizzlies,109.8,16,24.4,29.5,68.4,48.7,47.9,52.2,88.1,84.1,2003
Memphis,Grizzlies,110.1,15.8,24.9,27,68.7,48.1,48.7,52.6,87.1,90.7,2002
Miami,Heat,95.7,16.4,13.3,23.8,77.8,51.7,50.8,54.5,104.2,101.6,2015
Miami,Heat,93.3,16.2,14.5,23.2,73.4,48.8,50,54,101.5,103.8,2014
Miami,Heat,93.3,18.2,14.6,20.6,73,47.8,55.4,59,109,102.9,2013
Miami,Heat,93,18.5,13.7,22.2,73,49,55.2,58.8,110.3,100.5,2012
Miami,Heat,93.7,14.3,25.3,26.6,73.9,51.1,50.5,54.9,104.3,97.1,2011
Miami,Heat,93.2,14.6,23.8,25.2,75.5,51.8,52.4,57.3,109.3,100.7,2010
Miami,Heat,91.9,14,22.7,26.1,74.9,50.7,49.6,53.7,104.5,100.9,2009
Miami,Heat,92.3,14.9,21.6,24.6,72.9,48.6,50,54,105.1,104.7,2008
Miami,Heat,106.8,14.7,25.1,22.1,71.9,46.6,48.2,52.2,84.8,93,2007
Miami,Heat,106.5,14.9,25.1,24.9,73.3,49.7,50.6,54.1,88.6,88.4,2006
Miami,Heat,107.5,14.8,24.3,26.7,76.4,52.6,51.7,55.6,92.2,89.4,2005
Miami,Heat,106.4,15.6,23.2,27,74.1,51.5,52.4,55.9,94.4,87.6,2004
Miami,Heat,104.8,14.1,23.9,27.4,73.4,50.2,46.3,51,86.1,85.1,2003
Miami,Heat,104.5,13.5,24.3,26.8,73.9,49.7,43.9,48.3,81.1,86.2,2002
Milwaukee,Bucks,96.6,17.7,14.2,24.9,73.1,49.2,49.9,53.7,102.2,105.7,2015
Milwaukee,Bucks,96.5,17.9,15.5,25.4,73.3,49.5,49.9,53.6,100.5,99.3,2014
Milwaukee,Bucks,94.3,16.7,14.1,27.1,71.4,48.6,47.9,51.9,100.2,108.9,2013
Milwaukee,Bucks,97.3,17.1,12.7,27.9,71.3,48.8,47.6,51,100.9,102.3,2012
Milwaukee,Bucks,96.4,16,22.8,27.7,70.9,48.7,48.1,52.1,102.4,102.4,2011
Milwaukee,Bucks,92.1,13.9,23,24.7,74.8,49.1,46.7,51.1,99,99.9,2010
Milwaukee,Bucks,94,14.9,21.9,26.2,76.4,50.1,48.2,51.8,102,100.9,2009
Milwaukee,Bucks,95.2,15.3,23.1,27.8,74,49.9,48.3,53.1,103.8,104.9,2008
Milwaukee,Bucks,108,14.9,24.1,30,73,50.6,48.2,52.2,88.6,95.9,2007
Milwaukee,Bucks,110,15,24.7,27.6,68.1,47.6,50.4,54.1,89.8,93.7,2006
Milwaukee,Bucks,107.9,15.2,24.2,27.3,74.6,50.5,49.2,53.5,89.5,91.1,2005
Milwaukee,Bucks,106.8,14.9,23,29,72,50.3,47.5,52.7,90.2,93.7,2004
